ID_Localidades;Localidades;ID_Provincias
878;JUAN VICENTY;1
879;EL VOLCAN;1
880;ESQ DE LAHITTE;1
881;CUARTEL III;1
882;LOS PINOS;1
883;RAMOS OTERO;1
884;LA ESPERANZA;1
885;CINCO CERROS;1
886;EL PARQUE;1
887;LA PALOMA;1
888;ESTACION LA ALBORADA;1
889;LLANOS;1
890;SAN AGUSTIN;1
891;CABANA SAN JUAN;1
892;LA DELIA;1
893;NAPALEOFU;1
894;VILLA LAGUNA LA BRAVA;1
895;SAN ALBERTO;1
896;EL VIGILANTE;1
897;EL CERRO;1
898;EL VERANO;1
899;LA ADELA;1
900;PUERTA DEL ABRA;1
901;DEAN FUNES;6
902;VILLA DEL PRADO;6
903;CAVANAGH;6
904;GASTONA;24
905;FINCA LEON CORNET;24
906;GASTONILLA;24
907;LA HIGUERA;24
908;LAS FALDAS;24
909;FINCA LA FALDA;24
910;ARCADIA;24
911;CAVIA CUE;7
912;COSTA CHICA;7
913;TRES CRUCES;7
914;MEDIO;7
915;EMPEDRADO LIMPIO;7
916;INDIO MUERTO;7
917;COSTA GRANDE;7
918;LAGUNITA;7
919;ESPINALLAR;7
920;PASO LOVERA;7
921;ALBARDONES;7
922;RAMONES;7
923;ORATORIO;7
924;SANTOS LUGARES;7
925;ARROYO PONTON;7
926;CAMPO GRANDE;7
927;AGUIRRE CUE;7
928;LOMAS DE GALARZA;7
929;EL POLLO;7
930;PEICHOTO CUE;7
931;MALOYAS;7
932;CHANAR;7
933;ESQUIVEL CUE;7
934;CERRUDO CUE;7
935;COLONIA LLANO;7
936;SAN LUIS DEL PALMAR;7
937;TACUARAL;7
938;COLONIA EL SIMBOLAR;22
939;CAMPO LA UNION;21
940;LOS CARDOS;21
941;BARDA DEL MEDIO;16
942;CONTRALMIRANTE CORDERO;16
943;SANTA MARIA NORTE;21
944;BUENA VISTA;6
945;SAN GERONIMO;6
946;PALACIOS;21
947;EL BRETE;17
948;EL TALA;17
949;LOS MOGOTES;17
950;SENILLOSA;15
951;AGUADA TOLEDO;15
952;ARROYITO;15
953;CHINA MUERTA;15
954;LAS PENAS;6
955;LOS ROBLES;24
956;SAN JOSE DE FLORES;24
957;LA CIENAGA;24
958;RINCON DE BALDERRAMA;24
959;ACHERAL;24
960;ALTO DE LEIVA;24
961;ALDEA SAN JUAN;8
962;CAMPO SCARAFIOCCA;6
963;COLONIA GARZON;6
964;CAMPO EL CHILO;6
965;CAMPO FIORETTA;6
966;CAPILLA GARZON;6
967;CAMPO PEROTTI;6
968;COLONIA LOLA;6
969;CAMPO CAPRIVI;6
970;LAS PETACAS;6
971;CAMPO LAS SELVAS;6
972;CAMPO SAN ALFREDO;6
973;CAMPO MACAGNO;6
974;CAMPO ROSSI;6
975;CAMPO BERTOGLIO;6
976;CUESTA DEL RIO;6
977;COLONIA BELLA VISTA;6
978;CAMPO NIGRO SUR;6
